id,name,district
1659,Migging Circle,240
6862,Mihinpurwa Motipur,125
1000,Mirzapur,170
738,Modinagar,145
3655,Mohkhed,399
3521,Moman Badodiya,430
1623,Monigong Eac,725
7102,Moodubidire,534
5036,Mopidevi,510
1755,Mopong,247
719,Moradabad,171
6498,Moreh,716
3799,Morvi,673
7099,Mudalgi,527
5339,Mudigubba,754
1492,Muhra,196
241,Muktsar,39
6839,Mulagada,520
5594,Mulbagal,542
4059,Mulchera,475
4748,Mulkalapally,690
4642,Munagala,696
5482,Mundgod,550
4477,Munipally,691
315,Munsiari,53
4647,Munugode,514
4171,Murbad,497
4434,Mustabad,683
7408,Muthupettai,590
2307,Nabadwip,320
1609,Nacho Sdo,241
141,Nadaun,17
7416,Naduar,301
5547,Nagamangala,544
5799,Nagapattinam,579
507,Nagar,767
4583,Nagarkurnool,694
6477,Nagina St,604
1744,Naginimora,247
3464,Nagod,426
1259,Nagra,218
2692,Nagri,339
3347,Nagri,377
101,Nagrota Bagwan,18
6895,Nagrota Surian,18
5126,Naguluppala Padu,517
2069,Naharkatiya,286
1596,Naharlagun Eac,237
6465,Nahar St,72
2916,Naikanidihi,348
340,Nainital,51
2304,Nakashipara,320
2679,Nala,333
2252,Nalhati - II,307
3516,Nalkheda,667
4692,Nallabelli,522
5344,Nallamada,754
1873,Nambol,252
4654,Nampally,514
5243,Nandalur,753
4993,Nandigama,749
5284,Nandyal,755
5879,Nanguneri,592
5574,Nanjangud,545
2263,Nanoor,307
919,Nanpara,125
3161,Narala,358
5067,Narasaraopet,751
2944,Narasinghpur,350
6670,Narayanaraopet,692
3204,Narayanpatana,363
430,Narela,80
1651,Nari Adc,719
4634,Narketpally,514
6208,Narsapur G,680
4719,Narsimhulapet,688
4852,Nathavaram,744
1404,Naubatpur,212
2942,Naugaon,355
933,Naugarh,182
3922,Navsari,453
788,Nawabganj,130
218,Nawanshahr,40
2243,Nawda,319
3030,Nayagarh Sadar,367
2458,Nayagram,703
5690,Nedumangad,565
3489,Neemuch,419
5060,Nekarikallu,751
4713,Nekkonda,522
7075,Nidagundi,530
2632,Nilambar-Pitambarpur(Lesliganj),338
6552,Nilling Circle,241
663,Nimbahera,95
6233,Nizamabad Rural,516
3942,Nizar,641
2052,North Lakhimpur,295
1899,N Thingdawl,263
3004,N.T.P.C.,344
1867,Nungba,714
93,Nurpur,18
1706,Nyapin Adc,233
6844,Nyobia Circle,233
7162,Nyoma,9
3243,Odgi,648
3368,Orchha,637
3416,Orchha,722
2905,Oupada,346
4818,Pachipenta,743
1237,Pachrukhi,222
955,Padrauna,160
2719,Pakar Tanr,342
6848,Pakoti Circle,231
1052,Pakri Dayal,213
2578,Pakuria,337
4977,Palacoderu,523
6301,Palakeedu,696
5885,Palakkodu,571
3000,Palalahada,344
3739,Palanpur,441
5432,Palasamudram,503
1119,Palasi,188
5877,Palayamkottai,592
3420,Palera,434
6418,Palhawas St,72
798,Palia,159
1407,Paliganj,212
6250,Palimela,687
6735,Panchari,14
3301,Pandariya,382
6358,Pankhu,53
3224,Paparmetla,364
3652,Parasia,399
4540,Pargi,698
1067,Parihar,221
4679,Parkal,686
1201,Paroo,208
1263,Parsa,218
4812,Parvathipuram,743
7126,Parwanoo,25
6846,Passa Valley Circle,723
416,Pataudi,62
1274,Patepur,224
3262,Pathalgaon,380
5686,Pathanapuram,559
3457,Patharia,400
2146,Pathorighat (Pt),283
7309,Patna,384
4216,Patoda,470
7368,Patodi,775
2365,Patrasayer,305
1880,Patsoi,256
2926,Pattamundai,360
34,Pattan,3
260,Patti,609
3993,Patur,467
6363,Pawkidevi,55
5294,Peapully,755
4842,Peda Bayalu,745
4964,Pedavegi,748
4594,Peddamandadi,693
4903,Peddapuram,746
6256,Peddavangara,688
6206,Pembi,680
4862,Pendurthi,520
4752,Penuballi,509
2598,Peshrar,336
3865,Petlad,440
208,Phagwara,35
7385,Phalasia,117
946,Pharenda,164
1054,Phenhara,213
1752,Phomching,247
4136,Phulambri,469
5401,Pichatur,752
790,Pilibhit,173
4725,Pinapaka,690
2619,Pipra,338
7036,Piprai,391
4384,Pitlam,685
5091,Pittalavanipalem,750
5893,Pochampalli,577
5176,Podalakur,515
4982,Poduru,523
6760,Pogal Paristan,621
4800,Polaki,519
2347,Polba - Dadpur,312
5143,Ponnaluru,517
195,Poo,19
2562,Poreyahat,330
6088,Poshina,458
2478,Potashpur - II,317
6905,Pragpur,18
7415,Pub Mangaldai,283
4541,Pudur,698
1410,Punpun,212
